"Producto (SKU o Nombre)","Orden de Compra (OC)","Fecha OC","Embarque","Estado del Producto","Cotización Relacionada","INCOTERM","Descripción","Cantidad","Precio Unitario","Precio Total","Proveedor","Fecha de Cotización","Validez de la Oferta","Condiciones de Pago"
"WidgetA123","OC12345","4/10/2023","EMB2145","En reserva","QTE5678","FOB","Widget de alto torque","1000","$5.00","$5,000","Widgets Inc.","1/10/2023","30 días","30% adelanto, saldo contra entrega"
"GadgetPro234","OC12346","3/10/2023","EMB2146","Pendiente de revisión","QTE5679","CIF","Gadget profesional","500","$15.00","$7,500","Gadgets Ltd.","25/9/2023","45 días","Pago 50% adelanto, 50% a 30 días"
"MaterialX456","OC12347","13/9/2023","EMB2147","En tránsito","QTE5680","DAP","Material de construcción X","2000","$2.50","$5,000","Materials Corp.","10/9/2023","30 días","Pago total a 60 días"
"PartZ789","OC12348","4/10/2023","EMB2148","Entregado","QTE5681","EXW","Parte Z para maquinaria","150","$20.00","$3,000","Parts & Co.","3/10/2023","30 días","Pago a la entrega"
"ComponentY321","OC12349","3/10/2023","EMB2149","En aduana","QTE5682","CPT","Componente Y para sistemas","750","$8.00","$6,000","Components LLC","2/10/2023","60 días","50% adelanto, 50% a 60 días"
"ToolSetQ654","OC12350","13/9/2023","EMB2150","Liberado de aduana","QTE5683","CIP","Juego de herramientas Q","300","$30.00","$9,000","Tools & Equip.","15/9/2023","45 días","Pago con orden de compra"
"AccessoryF987","OC12351","4/10/2023","EMB2151","Recepción completada","QTE5684","DDP","Accesorio F diverso","100","$45.00","$4,500","Accessories Inc.","20/9/2023","60 días","Pago contra factura"
"WidgetA124","OC12352","5/10/2023","EMB2152","Esperando aprobación","QTE5685","FOB","Widget de precisión","1100","$4.90","$5,390","Precision Widgets Ltd.","1/10/2023","30 días","30% adelanto, 70% al enviar"
"GadgetPro235","OC12353","6/10/2023","EMB2153","Recogida programada","QTE5686","CIF","Gadget con GPS","420","$14.50","$6,090","Gadget Globe Inc.","26/9/2023","60 días","Pago a 60 días"
"MaterialX457","OC12354","7/10/2023","EMB2154","Confirmación pendiente","QTE5687","DAP","Material de aislamiento","2500","$2.30","$5,750","Insulation Co.","11/9/2023","45 días","Pago 50% adelanto, 50% a 30 días"
"PartZ790","OC12355","8/10/2023","EMB2155","Listo para despacho","QTE5688","EXW","Pieza de repuesto Z","160","$19.50","$3,120","Z Parts Manufacturing","4/10/2023","60 días","100% al pedido"
"ComponentY322","OC12356","9/10/2023","EMB2156","A la espera de envío","QTE5689","CPT","Componente de alta demanda","800","$7.75","$6,200","HighDemand Supplies","3/10/2023","30 días","Pago con pedido"
"ToolSetQ655","OC12357","10/10/2023","EMB2157","Producción finalizada","QTE5690","CIP","Juego avanzado de herramientas","350","$29.00","$10,150","Advanced Tools Corp.","16/9/2023","30 días","50% adelanto, saldo contra entrega"
"AccessoryF988","OC12358","11/10/2023","EMB2158","Inspección de calidad","QTE5691","DDP","Accesorios variados F","200","$43.00","$8,600","F Accessories Outlet","21/9/2023","30 días","Pago contra entrega"
"ProductK101","OC12359","12/10/2023","EMB2159","Ensamblaje en proceso","QTE5692","FCA","Kit de producto K","900","$11.00","$9,900","K Kit Enterprises","5/10/2023","45 días","40% adelanto, 60% al enviar"
"ElementT202","OC12360","13/10/2023","EMB2160","Esperando transporte","QTE5693","DDU","Elemento T para sistemas","600","$16.50","$9,900","T Element Suppliers","27/9/2023","30 días","Pago a 90 días"
"DeviceB303","OC12361","14/10/2023","EMB2161","Alistamiento","QTE5694","DAT","Dispositivo B avanzado","700","$21.00","$14,700","B Tech Innovations","12/9/2023","50 días","Pago 30% adelanto, 70% al recibir"
"ModuleS404","OC12362","15/10/2023","EMB2162","Revisión final","QTE5695","DAF","Módulo S para integración","1000","$10.00","$10,000","S Module Tech","6/10/2023","30 días","Pago contra factura"
"ComponentR505","OC12363","16/10/2023","EMB2163","Pedido confirmado","QTE5696","DES","Componente R","1200","$6.50","$7,800","R Components Ltd.","7/10/2023","45 días","30% al pedido, resto a la entrega"
"AssemblyW606","OC12364","17/10/2023","EMB2164","En tránsito marítimo","QTE5697","DEQ","Conjunto W para montaje","300","$13.00","$3,900","W Assembly Works","8/10/2023","60 días","Pago 50% adelanto, 50% al recibir"

